GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016091112,9/11/2016,1,0,52,ARI,NE,1,10,19,,1,,0,(:52) 3-C.PALMER PASS SHORT LEFT TO 31-D.JOHNSON TO ARI 45 FOR 26 YARDS (58-S.MCCLELLIN).,0,,,2016,26,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,19,OWN,0,,0,,0
2016091109,9/11/2016,2,15,0,SEA,MIA,3,3,24,,0,,0,(15:00) (SHOTGUN) 32-C.MICHAEL UP THE MIDDLE TO SEA 26 FOR 2 YARDS (55-K.MISI; 93-N.SUH).,0,,,2016,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,24,OWN,0,,0,,0
2016091112,9/11/2016,2,15,0,ARI,NE,2,13,42,,0,,0,(15:00) (SHOTGUN) 3-C.PALMER PASS SHORT LEFT TO 31-D.JOHNSON TO 50 FOR 8 YARDS (23-P.CHUNG; 98-T.FLOWERS).,0,,,2016,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,42,OWN,0,,0,,0
2016091109,9/11/2016,2,14,20,SEA,MIA,4,1,26,,0,,0,"(14:20) 9-J.RYAN PUNTS 42 YARDS TO MIA 32, CENTER-48-N.FRESE. 19-J.GRANT TO MIA 39 FOR 7 YARDS (91-C.MARSH). PENALTY ON MIA, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT MIA 39.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,26,OWN,1,MIA,0,ILLEGAL BLOCK ABOVE THE WAIST,10
2016091112,9/11/2016,2,14,22,ARI,NE,3,5,50,,0,,0,"(14:22) (SHOTGUN) 3-C.PALMER PASS SHORT LEFT TO 14-J.NELSON TO NE 39 FOR 11 YARDS (21-M.BUTLER). PENALTY ON NE-23-P.CHUNG, DEFENSIVE HOLDING, DECLINED.",0,,,2016,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,1,0,0,,50,OPP,0,NE,0,DEFENSIVE HOLDING,0
2016091112,9/11/2016,2,13,19,ARI,NE,2,9,62,,0,,0,(13:19) 31-D.JOHNSON RIGHT TACKLE TO NE 31 FOR 7 YARDS (32-D.MCCOURTY; 23-P.CHUNG).,0,,,2016,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,38,OPP,0,,0,,0
2016091112,9/11/2016,2,13,58,ARI,NE,1,10,61,,0,,0,(13:58) 31-D.JOHNSON UP THE MIDDLE TO NE 38 FOR 1 YARD (96-A.JOHNSON).,0,,,2016,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,39,OPP,0,,0,,0
2016091109,9/11/2016,2,12,26,SEA,MIA,1,10,18,,0,,0,(12:26) 34-T.RAWLS UP THE MIDDLE TO SEA 24 FOR 6 YARDS (25-X.HOWARD; 94-M.WILLIAMS).,0,,,2016,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,18,OWN,0,,0,,0
2016091112,9/11/2016,2,12,30,ARI,NE,4,10,61,,0,,0,"(12:30) 2-D.BUTLER PUNTS 23 YARDS TO NE 16, CENTER-86-K.CANADAY, FAIR CATCH BY 80-D.AMENDOLA.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
2016091112,9/11/2016,2,12,40,ARI,NE,3,2,69,,0,,0,"(12:40) (SHOTGUN) 3-C.PALMER SACKED AT NE 39 FOR -8 YARDS (95-C.LONG). PENALTY ON ARI-74-D.HUMPHRIES, FACE MASK (15 YARDS), DECLINED.",0,,,2016,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,1,0,0,,31,OPP,0,ARI,0,FACE MASK (15 YARDS),0
2016091109,9/11/2016,2,11,1,SEA,MIA,3,5,23,,1,,0,(11:01) (SHOTGUN) 3-R.WILSON PASS DEEP RIGHT INTENDED FOR 82-L.WILLSON INTERCEPTED BY 24-I.ABDUL-QUDDUS [98-J.JONES] AT MIA 49. 24-I.ABDUL-QUDDUS PUSHED OB AT SEA 42 FOR 9 YARDS (82-L.WILLSON).,0,,,2016,9,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,23,OWN,0,,0,,0
2016091109,9/11/2016,2,11,40,SEA,MIA,2,4,24,,0,,0,(11:40) 34-T.RAWLS RIGHT GUARD TO SEA 23 FOR -1 YARDS (20-R.JONES; 53-J.JENKINS).,0,,,2016,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,24,OWN,0,,0,,0
2016091112,9/11/2016,2,10,26,ARI,NE,1,10,46,,0,,0,(10:26) 31-D.JOHNSON UP THE MIDDLE TO NE 48 FOR 6 YARDS (26-L.RYAN).,0,,,2016,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,46,OWN,0,,0,,0
2016091112,9/11/2016,2,9,21,ARI,NE,1,10,63,,0,,0,(9:21) 31-D.JOHNSON UP THE MIDDLE TO NE 29 FOR 8 YARDS (91-J.COLLINS).,0,,,2016,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,37,OPP,0,,0,,0
2016091112,9/11/2016,2,9,47,ARI,NE,2,4,52,,1,,0,(9:47) (SHOTGUN) 3-C.PALMER PASS SHORT RIGHT TO 15-M.FLOYD TO NE 37 FOR 11 YARDS (91-J.COLLINS; 21-M.BUTLER).,0,,,2016,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
2016091112,9/11/2016,2,8,7,ARI,NE,1,10,74,,0,,0,(8:07) 31-D.JOHNSON UP THE MIDDLE TO NE 23 FOR 3 YARDS (99-V.VALENTINE).,0,,,2016,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,26,OPP,0,,0,,0
2016091109,9/11/2016,2,8,39,SEA,MIA,2,10,25,,0,,0,(8:39) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 89-D.BALDWIN TO SEA 29 FOR 4 YARDS (20-R.JONES) [93-N.SUH].,0,,,2016,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2016091112,9/11/2016,2,8,43,ARI,NE,2,2,71,,1,,0,(8:43) 31-D.JOHNSON RIGHT END TO NE 26 FOR 3 YARDS (95-C.LONG).,0,,,2016,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,29,OPP,0,,0,,0
2016091109,9/11/2016,2,8,45,SEA,MIA,1,10,25,,0,,0,(8:45) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 16-T.LOCKETT.,0,,,2016,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2016091109,9/11/2016,2,7,19,SEA,MIA,1,10,39,,0,,0,(7:19) 32-C.MICHAEL UP THE MIDDLE TO SEA 42 FOR 3 YARDS (55-K.MISI).,0,,,2016,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,39,OWN,0,,0,,0
2016091112,9/11/2016,2,7,21,ARI,NE,2,7,77,,0,,0,(7:21) 3-C.PALMER PASS SHORT RIGHT TO 11-L.FITZGERALD TO NE 17 FOR 6 YARDS (23-P.CHUNG).,0,,,2016,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,23,OPP,0,,0,,0
2016091109,9/11/2016,2,7,55,SEA,MIA,3,6,29,,1,,0,(7:55) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 89-D.BALDWIN TO SEA 39 FOR 10 YARDS (55-K.MISI; 47-K.ALONSO).,0,,,2016,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,29,OWN,0,,0,,0
2016091112,9/11/2016,2,6,15,ARI,NE,1,10,85,,0,,0,(6:15) (SHOTGUN) 3-C.PALMER PASS SHORT MIDDLE TO 84-J.GRESHAM TO NE 6 FOR 9 YARDS (58-S.MCCLELLIN).,0,,,2016,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2016091109,9/11/2016,2,6,36,SEA,MIA,2,17,32,,0,,0,(6:36) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 34-T.RAWLS PUSHED OB AT SEA 41 FOR 9 YARDS (24-I.ABDUL-QUDDUS).,0,,,2016,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,32,OWN,0,,0,,0
2016091109,9/11/2016,2,6,43,SEA,MIA,2,7,42,,0,,0,"(6:43) 3-R.WILSON PASS INCOMPLETE DEEP LEFT TO 10-P.RICHARDSON. PENALTY ON SEA-78-B.SOWELL, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 42 - NO PLAY.",0,,,2016,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,1,0,0,,42,OWN,1,SEA,1,OFFENSIVE HOLDING,10
2016091112,9/11/2016,2,6,47,ARI,NE,3,1,83,,1,,0,(6:47) 23-C.JOHNSON UP THE MIDDLE TO NE 15 FOR 2 YARDS (99-V.VALENTINE). ARI-69-E.MATHIS WAS INJURED DURING THE PLAY.,0,,,2016,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,17,OPP,0,,0,,0
